system_code,system_name,year,g3_8,g3_12,period
001,Acadia Parish,2018,37,36,pre_ban
001,Acadia Parish,2019,38,37,pre_ban
001,Acadia Parish,2021,33,33,pre_ban
001,Acadia Parish,2022,34,34,pre_ban
001,Acadia Parish,2023,36,36,pre_ban
001,Acadia Parish,2024,37,36,pre_ban
001,Acadia Parish,2025,35,34,post_ban
002,Allen Parish,2018,38,40,pre_ban
002,Allen Parish,2019,39,39,pre_ban
002,Allen Parish,2021,30,30,pre_ban
002,Allen Parish,2022,32,33,pre_ban
002,Allen Parish,2023,33,34,pre_ban
002,Allen Parish,2024,36,36,pre_ban
002,Allen Parish,2025,36,36,post_ban
003,Ascension Parish,2018,50,53,pre_ban
003,Ascension Parish,2019,52,54,pre_ban
003,Ascension Parish,2021,46,48,pre_ban
003,Ascension Parish,2022,47,49,pre_ban
003,Ascension Parish,2023,49,51,pre_ban
003,Ascension Parish,2024,51,53,pre_ban
003,Ascension Parish,2025,51,52,post_ban
004,Assumption Parish,2018,33,34,pre_ban
004,Assumption Parish,2019,33,34,pre_ban
004,Assumption Parish,2021,26,27,pre_ban
004,Assumption Parish,2022,26,27,pre_ban
004,Assumption Parish,2023,27,30,pre_ban
004,Assumption Parish,2024,27,30,pre_ban
004,Assumption Parish,2025,29,31,post_ban
005,Avoyelles Parish,2018,21,21,pre_ban
005,Avoyelles Parish,2019,24,24,pre_ban
005,Avoyelles Parish,2021,20,20,pre_ban
005,Avoyelles Parish,2022,21,22,pre_ban
005,Avoyelles Parish,2023,22,22,pre_ban
005,Avoyelles Parish,2024,25,25,pre_ban
005,Avoyelles Parish,2025,25,24,post_ban
006,Beauregard Parish,2018,35,35,pre_ban
006,Beauregard Parish,2019,37,36,pre_ban
006,Beauregard Parish,2021,31,31,pre_ban
006,Beauregard Parish,2022,31,31,pre_ban
006,Beauregard Parish,2023,33,33,pre_ban
006,Beauregard Parish,2024,35,34,pre_ban
006,Beauregard Parish,2025,31,31,post_ban
007,Bienville Parish,2018,30,32,pre_ban
007,Bienville Parish,2019,30,30,pre_ban
007,Bienville Parish,2021,25,26,pre_ban
007,Bienville Parish,2022,26,27,pre_ban
007,Bienville Parish,2023,27,28,pre_ban
007,Bienville Parish,2024,33,33,pre_ban
007,Bienville Parish,2025,31,30,post_ban
008,Bossier Parish,2018,41,42,pre_ban
008,Bossier Parish,2019,41,43,pre_ban
008,Bossier Parish,2021,36,38,pre_ban
008,Bossier Parish,2022,37,38,pre_ban
008,Bossier Parish,2023,38,40,pre_ban
008,Bossier Parish,2024,40,40,pre_ban
008,Bossier Parish,2025,39,40,post_ban
009,Caddo Parish,2018,27,28,pre_ban
009,Caddo Parish,2019,28,29,pre_ban
009,Caddo Parish,2021,22,23,pre_ban
009,Caddo Parish,2022,23,24,pre_ban
009,Caddo Parish,2023,26,26,pre_ban
009,Caddo Parish,2024,27,28,pre_ban
009,Caddo Parish,2025,26,27,post_ban
010,Calcasieu Parish,2018,36,36,pre_ban
010,Calcasieu Parish,2019,38,39,pre_ban
010,Calcasieu Parish,2021,32,32,pre_ban
010,Calcasieu Parish,2022,35,35,pre_ban
010,Calcasieu Parish,2023,37,38,pre_ban
010,Calcasieu Parish,2024,40,39,pre_ban
010,Calcasieu Parish,2025,41,40,post_ban
011,Caldwell Parish,2018,28,28,pre_ban
011,Caldwell Parish,2019,31,30,pre_ban
011,Caldwell Parish,2021,22,22,pre_ban
011,Caldwell Parish,2022,24,24,pre_ban
011,Caldwell Parish,2023,23,22,pre_ban
011,Caldwell Parish,2024,22,21,pre_ban
011,Caldwell Parish,2025,24,23,post_ban
012,Cameron Parish,2018,41,42,pre_ban
012,Cameron Parish,2019,44,44,pre_ban
012,Cameron Parish,2021,36,37,pre_ban
012,Cameron Parish,2022,36,39,pre_ban
012,Cameron Parish,2023,38,40,pre_ban
012,Cameron Parish,2024,41,44,pre_ban
012,Cameron Parish,2025,42,44,post_ban
013,Catahoula Parish,2018,28,28,pre_ban
013,Catahoula Parish,2019,28,28,pre_ban
013,Catahoula Parish,2021,19,20,pre_ban
013,Catahoula Parish,2022,22,22,pre_ban
013,Catahoula Parish,2023,20,21,pre_ban
013,Catahoula Parish,2024,27,25,pre_ban
013,Catahoula Parish,2025,22,23,post_ban
014,Claiborne Parish,2018,15,17,pre_ban
014,Claiborne Parish,2019,17,18,pre_ban
014,Claiborne Parish,2021,13,12,pre_ban
014,Claiborne Parish,2022,15,14,pre_ban
014,Claiborne Parish,2023,14,14,pre_ban
014,Claiborne Parish,2024,15,14,pre_ban
014,Claiborne Parish,2025,15,14,post_ban
015,Concordia Parish,2018,26,26,pre_ban
015,Concordia Parish,2019,26,25,pre_ban
015,Concordia Parish,2021,18,18,pre_ban
015,Concordia Parish,2022,21,21,pre_ban
015,Concordia Parish,2023,25,24,pre_ban
015,Concordia Parish,2024,27,25,pre_ban
015,Concordia Parish,2025,26,25,post_ban
016,Desoto Parish,2018,38,40,pre_ban
016,Desoto Parish,2019,43,44,pre_ban
016,Desoto Parish,2021,36,36,pre_ban
016,Desoto Parish,2022,37,38,pre_ban
