g3_12system_code,system_name,year,period,g3_8_all_subjects,g3_8_ela,g3_8_math,g3_8_science,g3_8_social_studies,g3_12_all_subjects,g3_12_ela,g3_12_math,g3_12_science,g3_12_social_studies
001,Acadia Parish,2018,pre_ban,37,47,38,33,27,36,45,35,NA,26
001,Acadia Parish,2019,pre_ban,38,47,39,33,28,37,47,38,NA,27
001,Acadia Parish,2021,pre_ban,33,45,33,28,26,33,45,32,28,24
001,Acadia Parish,2022,pre_ban,34,45,37,29,26,34,44,35,29,25
001,Acadia Parish,2023,pre_ban,36,47,39,31,28,36,47,38,30,26
001,Acadia Parish,2024,pre_ban,37,46,35,31,NA,36,45,35,30,19
001,Acadia Parish,2025,post_ban,35,44,34,30,32,34,44,34,29,29
002,Allen Parish,2018,pre_ban,38,51,32,33,32,40,52,34,NA,32
002,Allen Parish,2019,pre_ban,39,51,36,33,29,39,52,36,NA,28
002,Allen Parish,2021,pre_ban,30,41,25,28,27,30,43,25,27,25
002,Allen Parish,2022,pre_ban,32,44,29,29,27,33,46,30,28,26
002,Allen Parish,2023,pre_ban,33,44,30,31,27,34,47,32,31,25
002,Allen Parish,2024,pre_ban,36,47,30,32,NA,36,48,31,31,23
002,Allen Parish,2025,post_ban,36,45,33,30,35,36,46,35,30,32
003,Ascension Parish,2018,pre_ban,50,60,46,43,45,53,62,49,NA,46
003,Ascension Parish,2019,pre_ban,52,61,49,43,46,54,62,53,NA,47
003,Ascension Parish,2021,pre_ban,46,57,44,41,43,48,58,46,41,44
003,Ascension Parish,2022,pre_ban,47,59,46,42,41,49,60,49,42,42
003,Ascension Parish,2023,pre_ban,49,60,48,44,43,51,61,51,44,44
003,Ascension Parish,2024,pre_ban,51,62,48,45,NA,53,62,51,45,54
003,Ascension Parish,2025,post_ban,51,60,50,45,50,52,60,53,45,51
004,Assumption Parish,2018,pre_ban,33,39,36,25,25,34,41,35,NA,25
004,Assumption Parish,2019,pre_ban,33,41,35,26,24,34,42,34,NA,24
004,Assumption Parish,2021,pre_ban,26,33,27,20,23,27,35,29,21,22
004,Assumption Parish,2022,pre_ban,26,32,31,20,20,27,34,32,21,21
004,Assumption Parish,2023,pre_ban,27,36,30,23,20,30,40,34,24,21
004,Assumption Parish,2024,pre_ban,27,32,29,21,NA,30,36,32,23,22
004,Assumption Parish,2025,post_ban,29,35,31,23,27,31,37,35,24,27
005,Avoyelles Parish,2018,pre_ban,21,27,19,19,16,21,27,20,NA,15
005,Avoyelles Parish,2019,pre_ban,24,31,24,18,17,24,32,23,NA,17
005,Avoyelles Parish,2021,pre_ban,20,30,20,17,15,20,30,19,16,14
005,Avoyelles Parish,2022,pre_ban,21,31,21,18,15,22,32,21,18,15
005,Avoyelles Parish,2023,pre_ban,22,30,21,19,16,22,31,22,19,16
005,Avoyelles Parish,2024,pre_ban,25,32,23,21,NA,25,32,24,20,15
