distcode,districtname,g3_8_ela,g3_8_math,g3_8_all_subjects,year,period
0160,Abbeville 60,48,42.46666666666666,45.23333333333333,2021,pre_ban
0201,Aiken 01,41.28333333333333,24.299999999999997,32.791666666666664,2021,pre_ban
0301,Allendale 01,30.9,18.96666666666667,24.93333333333333,2021,pre_ban
0401,Anderson 01,59.449999999999996,51.6,55.525,2021,pre_ban
0402,Anderson 02,52.13333333333333,44.166666666666664,48.15,2021,pre_ban
0403,Anderson 03,57.083333333333336,47.416666666666664,52.25,2021,pre_ban
0404,Anderson 04,60.38333333333333,51.31666666666666,55.85,2021,pre_ban
0405,Anderson 05,46.6,38.13333333333333,42.36666666666667,2021,pre_ban
0503,Bamberg 03,31.266666666666666,20.15,25.708333333333336,2021,pre_ban
0645,Barnwell 45,31.68333333333333,22.083333333333336,26.883333333333333,2021,pre_ban
0648,Barnwell 48,29.633333333333333,23.049999999999997,26.34166666666666,2021,pre_ban
0701,Beaufort 01,44.8,34.233333333333334,39.516666666666666,2021,pre_ban
0801,Berkeley 01,42.15,25.366666666666667,33.75833333333333,2021,pre_ban
0901,Calhoun 01,34.6,15.450000000000001,25.025,2021,pre_ban
1001,Charleston 01,52.6,43.416666666666664,48.00833333333333,2021,pre_ban
1101,Cherokee 01,30.65,17.566666666666663,24.108333333333327,2021,pre_ban
1201,Chester 01,35.65,21.200000000000003,28.424999999999997,2021,pre_ban
1301,Chesterfield 01,30.15,16.883333333333333,23.516666666666666,2021,pre_ban
1406,Clarendon 06,37.833333333333336,29.46666666666667,33.65,2021,pre_ban
1501,Colleton 01,23.333333333333336,9.083333333333334,16.208333333333336,2021,pre_ban
1601,Darlington 01,35.13333333333333,25.916666666666664,30.525,2021,pre_ban
1703,Dillon 03,43.25,30.733333333333334,36.99166666666667,2021,pre_ban
1704,Dillon 04,29.116666666666667,14.466666666666667,21.791666666666664,2021,pre_ban
1802,Dorchester 02,50.81666666666666,37.11666666666667,43.96666666666666,2021,pre_ban
1804,Dorchester 04,32.083333333333336,20.28333333333333,26.18333333333333,2021,pre_ban
1901,Edgefield 01,40.88333333333333,24.31666666666667,32.6,2021,pre_ban
2001,Fairfield 01,35.46666666666666,23.633333333333333,29.549999999999997,2021,pre_ban
2101,Florence 01,43.4,32.08333333333333,37.74166666666667,2021,pre_ban
2102,Florence 02,33.949999999999996,24.58333333333333,29.26666666666666,2021,pre_ban
2103,Florence 03,34.43333333333333,16.15,25.291666666666664,2021,pre_ban
2105,Florence 05,43.083333333333336,29.983333333333334,36.53333333333334,2021,pre_ban
2201,Georgetown 01,38.449999999999996,28.416666666666664,33.43333333333333,2021,pre_ban
2301,Greenville 01,51.15,43.03333333333333,47.09166666666666,2021,pre_ban
2450,Greenwood 50,45.199999999999996,34.766666666666666,39.98333333333333,2021,pre_ban
