year,distcode,districtname,testgrade,ELAN,ELApct34,MathN,Mathpct34
2024,0160,Abbeville 60,03,194,59.8,194,70.6
2024,0160,Abbeville 60,04,196,60.7,196,53.6
2024,0160,Abbeville 60,05,227,53.7,227,57.3
2024,0160,Abbeville 60,06,180,58.9,180,46.7
2024,0160,Abbeville 60,07,200,53,200,40
2024,0160,Abbeville 60,08,226,53.5,225,38.2
2024,0201,Aiken 01,03,1716,51,1720,46.8
2024,0201,Aiken 01,04,1770,55.4,1769,43.2
2024,0201,Aiken 01,05,1526,50.1,1526,35.1
2024,0201,Aiken 01,06,1660,47.3,1658,22.5
2024,0201,Aiken 01,07,1632,44.7,1628,24.9
2024,0201,Aiken 01,08,1709,50.8,1704,24.9
2024,0301,Allendale 01,03,50,36,50,52
2024,0301,Allendale 01,04,69,44.9,69,36.2
2024,0301,Allendale 01,05,65,36.9,65,29.2
2024,0301,Allendale 01,06,64,39.1,66,16.7
2024,0301,Allendale 01,07,68,39.7,69,15.9
2024,0301,Allendale 01,08,52,40.4,52,15.4
2024,0401,Anderson 01,03,829,66.7,829,71.9
2024,0401,Anderson 01,04,810,75.6,810,71.1
2024,0401,Anderson 01,05,774,71.6,774,65.2
2024,0401,Anderson 01,06,809,64.9,810,54.7
2024,0401,Anderson 01,07,824,65.5,825,55.5
2024,0401,Anderson 01,08,823,64,822,42.8
2024,0402,Anderson 02,03,238,61.8,238,70.2
2024,0402,Anderson 02,04,233,66.1,234,63.7
2024,0402,Anderson 02,05,246,69.1,246,64.2
2024,0402,Anderson 02,06,247,60.3,247,54.7
2024,0402,Anderson 02,07,239,51.5,239,34.3
2024,0402,Anderson 02,08,268,55.6,268,29.5
2024,0403,Anderson 03,03,191,63.9,191,69.6
2024,0403,Anderson 03,04,190,71.6,190,65.3
2024,0403,Anderson 03,05,197,73.1,197,61.4
2024,0403,Anderson 03,06,194,65.5,196,47.4
2024,0403,Anderson 03,07,190,61.6,192,39.1
2024,0403,Anderson 03,08,214,58.4,214,53.3
2024,0404,Anderson 04,03,234,70.9,234,70.5
2024,0404,Anderson 04,04,235,74,235,68.1
2024,0404,Anderson 04,05,232,64.7,232,57.8
2024,0404,Anderson 04,06,224,75.4,224,60.3
2024,0404,Anderson 04,07,217,65.4,217,53
2024,0404,Anderson 04,08,203,63.5,203,49.8
2024,0405,Anderson 05,03,896,55.2,895,55.5
2024,0405,Anderson 05,04,901,61.4,901,52.4
2024,0405,Anderson 05,05,977,56.2,977,43.5
2024,0405,Anderson 05,06,924,57.5,925,47.7
2024,0405,Anderson 05,07,893,53.2,891,44.4
2024,0405,Anderson 05,08,908,47.7,909,36.9
2024,0503,Bamberg 03,03,106,36.8,106,41.5
2024,0503,Bamberg 03,04,136,43.4,136,37.5
2024,0503,Bamberg 03,05,127,39.4,127,26
2024,0503,Bamberg 03,06,130,41.5,130,24.6
2024,0503,Bamberg 03,07,143,38.5,143,16.1
2024,0503,Bamberg 03,08,149,39.6,149,26.8
2024,0645,Barnwell 45,03,129,45.7,129,39.5
2024,0645,Barnwell 45,04,148,45.3,148,39.2
2024,0645,Barnwell 45,05,129,45.7,129,37.2
2024,0645,Barnwell 45,06,170,42.9,170,37.1
2024,0645,Barnwell 45,07,144,37.5,144,16.7
2024,0645,Barnwell 45,08,118,24.6,118,14.4
2024,0648,Barnwell 48,03,80,48.8,79,54.4
2024,0648,Barnwell 48,04,94,35.1,94,34
2024,0648,Barnwell 48,05,97,40.2,97,33
2024,0648,Barnwell 48,06,90,35.6,90,25.6
2024,0648,Barnwell 48,07,82,40.2,82,29.3
2024,0648,Barnwell 48,08,88,29.5,88,13.6
2024,0701,Beaufort 01,03,1612,53.2,1611,54.2
2024,0701,Beaufort 01,04,1521,56.4,1522,49.5
2024,0701,Beaufort 01,05,1557,53.5,1555,46.8
2024,0701,Beaufort 01,06,1532,55.1,1529,41.6
2024,0701,Beaufort 01,07,1565,52,1567,35.5
2024,0701,Beaufort 01,08,1547,50.2,1546,29.4
2024,0801,Berkeley 01,03,2843,50.1,2841,44.5
2024,0801,Berkeley 01,04,2945,55.9,2943,45
2024,0801,Berkeley 01,05,2854,50.6,2853,35.7
2024,0801,Berkeley 01,06,2848,51.7,2851,29.6
2024,0801,Berkeley 01,07,2729,49.7,2725,27.1
2024,0801,Berkeley 01,08,2848,46.5,2849,21.9
2024,0901,Calhoun 01,03,110,37.3,110,23.6
2024,0901,Calhoun 01,04,115,39.1,115,22.6
2024,0901,Calhoun 01,05,95,43.2,95,21.1
2024,0901,Calhoun 01,06,121,47.9,121,27.3
2024,0901,Calhoun 01,07,110,50.9,110,27.3
2024,0901,Calhoun 01,08,98,40.8,98,22.4
2024,1001,Charleston 01,03,3837,58.9,3837,60.2
2024,1001,Charleston 01,04,3744,63.8,3742,57.4
2024,1001,Charleston 01,05,3619,62.2,3618,53.6
2024,1001,Charleston 01,06,3627,63.2,3623,51.4
2024,1001,Charleston 01,07,3564,60,3570,47.8
2024,1001,Charleston 01,08,3512,59.1,3516,41.7
2024,1101,Cherokee 01,03,496,41.5,496,41.9
2024,1101,Cherokee 01,04,532,42.9,533,38.8
2024,1101,Cherokee 01,05,536,39.7,536,24.1
2024,1101,Cherokee 01,06,537,37.6,536,19.2
2024,1101,Cherokee 01,07,549,35.3,550,16.4
2024,1101,Cherokee 01,08,506,38.5,507,16.6
2024,1201,Chester 01,03,323,41.5,324,45.1
2024,1201,Chester 01,04,341,47.8,341,44.3
2024,1201,Chester 01,05,332,45.5,331,34.1
2024,1201,Chester 01,06,341,44.6,342,21.1
2024,1201,Chester 01,07,341,41.9,342,16.1
2024,1201,Chester 01,08,330,44.2,331,18.1
2024,1301,Chesterfield 01,03,496,38.1,496,33.7
2024,1301,Chesterfield 01,04,516,38.8,516,32.9
2024,1301,Chesterfield 01,05,517,42.4,516,36.6
2024,1301,Chesterfield 01,06,505,40,507,19.1
2024,1301,Chesterfield 01,07,538,34.8,537,16.8
2024,1301,Chesterfield 01,08,513,38.4,515,13.8
2024,1406,Clarendon 06,03,297,42.8,297,59.3
2024,1406,Clarendon 06,04,283,53.4,281,47.7
2024,1406,Clarendon 06,05,280,44.6,280,38.2
2024,1406,Clarendon 06,06,297,51.2,295,38.6
2024,1406,Clarendon 06,07,339,42.2,337,27
2024,1406,Clarendon 06,08,306,44.4,307,17.6
2024,1501,Colleton 01,03,352,33.5,355,27.6
2024,1501,Colleton 01,04,336,40.5,336,23.2
2024,1501,Colleton 01,05,317,27.4,319,20.1
2024,1501,Colleton 01,06,305,28.9,305,14.1
2024,1501,Colleton 01,07,339,29.2,343,12.2
2024,1501,Colleton 01,08,355,32.1,360,8.9
2024,1601,Darlington 01,03,648,46.1,648,49.4
2024,1601,Darlington 01,04,596,46,596,39.9
2024,1601,Darlington 01,05,640,49.7,639,43.3
2024,1601,Darlington 01,06,601,43.1,602,27.7
2024,1601,Darlington 01,07,639,37.6,638,21.9
2024,1601,Darlington 01,08,699,39.9,698,24.9
2024,1703,Dillon 03,03,115,40.9,115,24.3
2024,1703,Dillon 03,04,109,67.9,110,71.8
2024,1703,Dillon 03,05,116,50.9,116,44
2024,1703,Dillon 03,06,114,57.9,114,48.2
2024,1703,Dillon 03,07,113,49.6,113,35.4
2024,1703,Dillon 03,08,114,43.9,114,12.3
2024,1704,Dillon 04,03,236,39.4,235,38.3
2024,1704,Dillon 04,04,223,38.1,223,28.7
2024,1704,Dillon 04,05,318,35.5,318,18.2
2024,1704,Dillon 04,06,254,40.2,254,24.4
2024,1704,Dillon 04,07,258,39.9,258,15.5
2024,1704,Dillon 04,08,271,33.2,271,13.3
2024,1802,Dorchester 02,03,1904,61.5,1904,59.3
2024,1802,Dorchester 02,04,1908,63.7,1908,54.9
2024,1802,Dorchester 02,05,1971,62.8,1971,51.5
2024,1802,Dorchester 02,06,1977,60.2,1975,42
2024,1802,Dorchester 02,07,1985,53.8,1987,33
2024,1802,Dorchester 02,08,2045,54.5,2044,33.6
2024,1804,Dorchester 04,03,160,40.6,160,47.5
2024,1804,Dorchester 04,04,150,38.7,150,41.3
2024,1804,Dorchester 04,05,131,49.6,131,38.9
2024,1804,Dorchester 04,06,149,44.3,149,20.1
2024,1804,Dorchester 04,07,157,33.8,157,13.4
2024,1804,Dorchester 04,08,140,37.1,140,12.1
2024,1901,Edgefield 01,03,254,46.5,254,41.7
2024,1901,Edgefield 01,04,249,42.2,249,38.2
2024,1901,Edgefield 01,05,248,53.6,248,31.5
2024,1901,Edgefield 01,06,251,54.6,251,35.1
2024,1901,Edgefield 01,07,258,47.3,258,28.7
2024,1901,Edgefield 01,08,224,52.7,224,22.3
2024,2001,Fairfield 01,03,143,41.3,143,38.5
2024,2001,Fairfield 01,04,153,47.1,152,39.5
2024,2001,Fairfield 01,05,142,43,141,34
2024,2001,Fairfield 01,06,163,45.4,163,33.7
2024,2001,Fairfield 01,07,151,43,152,24.3
2024,2001,Fairfield 01,08,175,44.6,175,23.4
2024,2101,Florence 01,03,1127,60.2,1128,57
2024,2101,Florence 01,04,1123,57.5,1121,50.3
2024,2101,Florence 01,05,1132,56.9,1131,45.6
2024,2101,Florence 01,06,1206,47.4,1207,32.9
2024,2101,Florence 01,07,1225,44.7,1221,27.4
2024,2101,Florence 01,08,1160,45.3,1165,30.9
2024,2102,Florence 02,03,71,47.9,71,32.4
2024,2102,Florence 02,04,87,46,87,40.2
2024,2102,Florence 02,05,68,47.1,68,55.9
2024,2102,Florence 02,06,78,38.5,78,35.9
2024,2102,Florence 02,07,81,42,81,25.9
2024,2102,Florence 02,08,68,33.8,68,8.8
2024,2103,Florence 03,03,204,44.1,204,44.1
2024,2103,Florence 03,04,195,48.2,195,37.4
2024,2103,Florence 03,05,208,45.7,208,26.4
2024,2103,Florence 03,06,191,55.5,191,19.4
2024,2103,Florence 03,07,243,32.5,242,7.9
2024,2103,Florence 03,08,180,32.2,180,13.3
2024,2105,Florence 05,03,83,49.4,83,42.2
2024,2105,Florence 05,04,81,61.7,81,42
2024,2105,Florence 05,05,98,40.8,98,44.9
2024,2105,Florence 05,06,84,51.2,84,33.3
2024,2105,Florence 05,07,94,54.3,94,39.4
2024,2105,Florence 05,08,91,52.7,91,29.7
2024,2201,Georgetown 01,03,554,50,554,47.1
2024,2201,Georgetown 01,04,626,51.4,627,47.2
2024,2201,Georgetown 01,05,599,47.4,599,38.9
2024,2201,Georgetown 01,06,595,47.2,595,30.3
2024,2201,Georgetown 01,07,622,40,622,26.5
2024,2201,Georgetown 01,08,609,46.3,611,32.1
2024,2301,Greenville 01,03,5890,61.7,5888,65
2024,2301,Greenville 01,04,5859,64.4,5858,61
2024,2301,Greenville 01,05,5770,63.4,5766,57.4
2024,2301,Greenville 01,06,5818,57.9,5818,47.4
2024,2301,Greenville 01,07,5853,55.7,5857,41.4
2024,2301,Greenville 01,08,5913,55.4,5914,37.6
2024,2450,Greenwood 50,03,606,62,606,62.2
2024,2450,Greenwood 50,04,622,63.7,622,61.3
2024,2450,Greenwood 50,05,569,62.2,569,55.5
2024,2450,Greenwood 50,06,622,46.8,622,32.2
2024,2450,Greenwood 50,07,627,44.8,628,26.1
2024,2450,Greenwood 50,08,612,43.3,611,22.9
2024,2451,Greenwood 51,03,71,45.1,71,43.7
2024,2451,Greenwood 51,04,52,48.1,52,50
2024,2451,Greenwood 51,05,60,46.7,61,52.5
2024,2451,Greenwood 51,06,71,62,72,43.1
2024,2451,Greenwood 51,07,57,50.9,57,19.3
2024,2451,Greenwood 51,08,73,50.7,73,34.2
2024,2452,Greenwood 52,03,98,66.3,98,65.3
2024,2452,Greenwood 52,04,97,71.1,97,76.3
2024,2452,Greenwood 52,05,109,56.9,109,56.9
2024,2452,Greenwood 52,06,125,74.4,125,61.6
2024,2452,Greenwood 52,07,125,64.8,125,48
2024,2452,Greenwood 52,08,106,65.1,106,48.1
2024,2503,Hampton,03,179,57.5,179,54.7
2024,2503,Hampton,04,140,48.6,139,46.8
2024,2503,Hampton,05,172,59.3,172,43
2024,2503,Hampton,06,152,52,153,23.5
2024,2503,Hampton,07,164,52.4,168,22.6
2024,2503,Hampton,08,155,46.5,152,16.4
2024,2601,Horry 01,03,3434,62.1,3433,65
2024,2601,Horry 01,04,3544,63.9,3546,58
2024,2601,Horry 01,05,3531,62,3532,50.3
2024,2601,Horry 01,06,3851,60,3846,45
2024,2601,Horry 01,07,3687,56.1,3684,41.4
2024,2601,Horry 01,08,3804,56.4,3793,38.9
2024,2701,Jasper 01,03,232,23.3,232,24.1
2024,2701,Jasper 01,04,204,26.5,205,21.5
2024,2701,Jasper 01,05,237,25.3,236,26.7
2024,2701,Jasper 01,06,205,28.8,205,14.6
2024,2701,Jasper 01,07,211,34.6,211,10.4
2024,2701,Jasper 01,08,198,30.3,196,11.7
2024,2801,Kershaw 01,03,776,48.5,776,50
2024,2801,Kershaw 01,04,799,51.4,799,48.1
2024,2801,Kershaw 01,05,837,48.3,838,41.6
2024,2801,Kershaw 01,06,858,50.6,858,30.3
2024,2801,Kershaw 01,07,875,46.4,875,27.4
2024,2801,Kershaw 01,08,854,49.8,855,26.4
2024,2901,Lancaster 01,03,1218,54.8,1218,63
2024,2901,Lancaster 01,04,1220,62.2,1221,64.7
2024,2901,Lancaster 01,05,1153,56.8,1155,56.8
2024,2901,Lancaster 01,06,1126,63.2,1129,53
2024,2901,Lancaster 01,07,1123,51.3,1126,37.5
2024,2901,Lancaster 01,08,1126,46,1128,30.4
2024,3055,Laurens 55,03,373,33.2,373,34.9
2024,3055,Laurens 55,04,335,41.5,335,39.1
2024,3055,Laurens 55,05,329,40.1,329,29.5
2024,3055,Laurens 55,06,352,34.4,352,17.6
2024,3055,Laurens 55,07,367,37.6,367,20.4
2024,3055,Laurens 55,08,370,33.5,369,14.6
2024,3056,Laurens 56,03,195,54.9,195,53.8
2024,3056,Laurens 56,04,169,52.1,169,58.6
2024,3056,Laurens 56,05,195,48.2,195,42.1
2024,3056,Laurens 56,06,172,53.5,171,40.9
2024,3056,Laurens 56,07,208,33.2,208,24
2024,3056,Laurens 56,08,229,41.9,229,22.3
2024,3101,Lee 01,03,89,29.2,88,29.5
2024,3101,Lee 01,04,94,35.1,94,23.4
2024,3101,Lee 01,05,79,46.8,79,30.4
2024,3101,Lee 01,06,101,27.7,97,7.2
2024,3101,Lee 01,07,102,24.5,103,11.7
2024,3101,Lee 01,08,106,28.3,108,NA
2024,3201,Lexington 01,03,1912,58.2,1912,59.5
2024,3201,Lexington 01,04,1975,62.6,1975,58.9
2024,3201,Lexington 01,05,2118,60.2,2118,50
2024,3201,Lexington 01,06,2067,59.9,2065,45.4
