state,state_code,ban_category,scope_basis,effective_date,bill_or_policy,confidence,notes
Alabama,AL,bell_to_bell,prohibits possession during the instructional day unless stored off-person,2025-08-01,HB 166,high,instructional day interpreted as whole school day per bill's device-storage requirement
Alaska,AK,unclear,requires district policies covering regular school hours including lunch and passing periods,,HB 57,low,state does not itself ban; mandates districts adopt bell-to-bell-scoped policies - verify district compliance
Arizona,AZ,district_discretion,districts required to limit use during the school day; state law does not set instructional-time-only or bell-to-bell as a floor/ceiling,,HB 2484,high,"scope set locally, not by the state"
Arkansas,AR,bell_to_bell,restrict possession and prohibit use during the school day,2025-08-01,SB 142,high,
California,CA,district_discretion,districts must adopt a policy to limit or prohibit smartphone use at schoolsite,2026-07-01,AB 3216,high,compliance deadline July 2026; scope set locally
Colorado,CO,no_mandated_ban,requires district policy on device possession/use during school day,2026-07-01,HB 25-1135,high,"no state-mandated prohibition, only requires a policy exist"
Connecticut,CT,no_mandated_ban,encourages districts to adopt a policy,,State Board policy,high,
Delaware,DE,no_mandated_ban,encourages districts to limit use during instructional time,,SB 106,high,
Florida,FL,instructional_time_only,may not use a wireless communications device during instructional time,2023-07-01,HB 379,high,frequently miscited as bell-to-bell in press trackers; state law itself is instructional-time only
Georgia,GA,bell_to_bell,shall not be permitted to access personal electronic devices during the school day,2026-07-01,HB 1009,high,expanded from K-8 (2025) to all grades (2026)
Hawaii,HI,mixed_by_grade,elementary/middle: prohibited during school hours (bell-to-bell); high school: prohibited during instructional time only,2026-02-02,State Board policy,medium,do not treat as single-scope state; consider excluding or splitting by grade band
Idaho,ID,no_mandated_ban,encourages districts to adopt a policy,,Executive order,high,
Indiana,IN,instructional_time_only,prohibits use during instructional time,2024-07-01,SB 185,high,
Iowa,IA,instructional_time_only,districts required to restrict use during classroom instructional time,2025-07-01,HF 782,high,
Illinois,IL,no_mandated_ban,no statewide policy identified,,,low,verify - not found in source table
Kansas,KS,bell_to_bell,prohibit using or accessing devices during the school day,2026-08-01,HB 2299,high,
Kentucky,KY,instructional_time_only,bill text unclear between 'school day' and instructional carve-outs,,HB 208,low,verify against full statute before use
Louisiana,LA,bell_to_bell,no student shall possess a device throughout the instructional day,2024-08-01,SB 207,high,instructional day = whole day per storage requirement
Maine,ME,bell_to_bell,"prohibiting use for the duration of the school day, from starting bell to dismissal bell",2026-08-01,LD 2212,high,explicit bell-to-bell language
Maryland,MD,unclear,reportedly requires districts to establish policy,,,low,not captured in source pull - re-check directly
Massachusetts,MA,no_mandated_ban,no statewide policy identified as of this pull,,,low,verify - pending legislation reported as of mid-2026
Michigan,MI,instructional_time_only,prohibits use on school grounds during instructional time,2026-08-01,HB 4141,high,
Minnesota,MN,no_mandated_ban,"requires district policy, no scope specified",2025-03-15,SF 3567,high,
Mississippi,MS,no_mandated_ban,no statewide policy identified,,,low,verify
Missouri,MO,bell_to_bell,"prohibit display/use from beginning of school day until end of school day, including meals/breaks/transitions",2025-08-01,SB 68,high,explicit bell-to-bell language
Montana,MT,no_mandated_ban,encourages districts to adopt a policy,,Governor's letter,high,
Nebraska,NE,bell_to_bell,prohibit use while on school property or attending a school function,,LB 140,high,
Nevada,NV,unclear,policy concerning use/possession while on school property or at a school activity,,SB 444,low,scope of required prohibition not specified in available text
New Hampshire,NH,bell_to_bell,prohibit device use from first bell to dismissal bell,,HB 2,high,explicit bell-to-bell language
New Jersey,NJ,bell_to_bell,prohibit non-academic use of internet-enabled devices during the school day,,S 3695,high,
New Mexico,NM,no_mandated_ban,"requires district policy, no scope specified",,SB 11,high,
New York,NY,unclear,"districts required to ban, but craft own policies",2025-08-01,S3006C,low,verify individual district scope if using NY
North Carolina,NC,instructional_time_only,prohibit use during instructional time,2025-07-01,HB 959,high,
North Dakota,ND,instructional_time_only,devices locked away and inaccessible during instructional time,2025-08-01,HB 1160,high,
Ohio,OH,bell_to_bell,prohibit cellular telephone use during the instructional day,2026-01-01,HB 96,high,"upgraded from 2024 HB 250 (weaker, ""as limited as possible"" standard) - graduated-treatment state, see notes"
Oklahoma,OK,bell_to_bell,prohibit devices from bell to bell,2025-08-01,SB 139,high,"explicit bell-to-bell language; one-year mandate, optional after 2025-26"
Oregon,OR,bell_to_bell,"prohibit use from start to end of regular instructional hours (i.e., full school day)",2025-08-01,Executive Order 25-09,high,
Pennsylvania,PA,no_mandated_ban,"grant program for pouches only, not a mandate",,,high,
Rhode Island,RI,bell_to_bell,prohibition on physical access to a device during the school day,,SB 771,high,
South Carolina,SC,bell_to_bell,prohibits access to devices during the school day,2024-08-01,Budget proviso,high,
South Dakota,SD,no_mandated_ban,no statewide policy identified,,,low,verify
Tennessee,TN,instructional_time_only,requires districts to prohibit device use during instructional time,,SB 0897,high,
Texas,TX,bell_to_bell,prohibit device use while on school property during the school day,2025-08-01,HB 1481,high,
Utah,UT,bell_to_bell,may not use device at school during school hours,2026-08-01,SB 69,high,"upgraded from 2025 SB 178 (instructional-time only, allowed lunch/recess/transitions) - graduated-treatment state, see notes"
Vermont,VT,bell_to_bell,prohibit use at school from arrival to dismissal,,HB 480,high,
