state,state_code,ban_scope,scope_basis,effective_date,bill_or_policy,is_bell_to_bell_ban,notes
Alabama,AL,Bell-to-bell,"prohibits possession during the instructional day unless stored off-person",2025-08-01,HB 166,1,"instructional day" interpreted as whole school day per bill's device-storage requirement
Alaska,AK,Ambiguous - district-mandated scope,"requires district policies covering regular school hours including lunch and passing periods",,HB 57,0,state does not itself ban; mandates districts adopt bell-to-bell-scoped policies - verify district compliance
Arizona,AZ,Instructional-time only,"limit the use of wireless communication devices by students during the school day (district discretion)",,HB 2484,0,Ballotpedia categorizes as "limits," not a hard mandate
Arkansas,AR,Bell-to-bell,"restrict possession and prohibit use during the school day",2025-08-01,SB 142,1,
California,CA,Instructional-time only (district discretion),"limit or prohibit smartphone use at schoolsite",2026-07-01,AB 3216,0,compliance deadline July 2026; districts set exact scope
Colorado,CO,Not a ban - requires policy only,"requires district policy on device possession/use during school day",2026-07-01,HB 25-1135,0,no state-mandated prohibition
Connecticut,CT,Not a ban - encourages only,,,"State Board policy",0,
Delaware,DE,Not a ban - encourages only,"limits cell phone use during instructional time",,SB 106,0,
Florida,FL,Instructional-time only,"may not use a wireless communications device during instructional time",2023-07-01,HB 379,0,frequently miscited as bell-to-bell; state law is instructional-time only (some districts go further)
Georgia,GA,Bell-to-bell,"shall not be permitted to access personal electronic devices during the school day",2026-07-01,HB 1009,1,expanded from K-8 (2025) to all grades (2026)
Hawaii,HI,Mixed by grade band,"elementary/middle: prohibited during school hours; high school: prohibited during instructional time only",2026-02-02,State Board policy,0,partial - elementary/middle is bell-to-bell, high school is not
Idaho,ID,Not a ban - encourages only,,,Executive order,0,
Indiana,IN,Instructional-time only,"prohibits use during instructional time",2024-07-01,SB 185,0,
Iowa,IA,Instructional-time only,"restrict use during classroom instructional time",2025-07-01,HF 782,0,
Kansas,KS,Bell-to-bell,"prohibit using or accessing devices during the school day",2026-08-01,HB 2299,1,
Kentucky,KY,Instructional-time only,"prohibit device use during the school day (implemented via district policy requirement)",,HB 208,0,bill text ambiguous between "school day" and instructional carve-outs - verify
Louisiana,LA,Bell-to-bell,"no student shall possess a device throughout the instructional day",2024-08-01,SB 207,1,"instructional day" = whole day per storage requirement
Maine,ME,Bell-to-bell,"prohibiting use for the duration of the school day, from starting bell to dismissal bell",2026-08-01,LD 2212,1,explicit bell-to-bell language
Maryland,MD,Unclear - verify,,,,0,not captured in source pull - re-check directly
Michigan,MI,Instructional-time only,"prohibits use on school grounds during instructional time",2026-08-01,HB 4141,0,
Minnesota,MN,Not a ban - requires policy only,,2025-03-15,SF 3567,0,
Missouri,MO,Bell-to-bell,"prohibit display/use from beginning of school day until end of school day, including meals/breaks/transitions",2025-08-01,SB 68,1,explicit bell-to-bell language
Montana,MT,Not a ban - encourages only,,,Governor's letter,0,
Nebraska,NE,Bell-to-bell,"prohibit use while on school property or attending a school function",,LB 140,1,
Nevada,NV,Unclear - verify,"policy concerning use/possession while on school property or at a school activity",,SB 444,0,scope of required prohibition not specified in available text
New Hampshire,NH,Bell-to-bell,"prohibit device use from first bell to dismissal bell",,HB 2,1,explicit bell-to-bell language
New Jersey,NJ,Bell-to-bell,"prohibit non-academic use of internet-enabled devices during the school day",,S 3695,1,
New Mexico,NM,Not a ban - requires policy only,,,SB 11,0,
New York,NY,Unclear - district discretion,"districts required to ban, but craft own policies",2025-08-01,S3006C,0,verify individual district scope if using NY
North Carolina,NC,Instructional-time only,"prohibit use during instructional time",2025-07-01,HB 959,0,
North Dakota,ND,Instructional-time only,"devices locked away and inaccessible during instructional time",2025-08-01,HB 1160,0,
Ohio,OH,Bell-to-bell,"prohibit cellular telephone use during the instructional day",2026-01-01,HB 96,1,upgraded from 2024 instructional-time-only law (HB 250)
Oklahoma,OK,Bell-to-bell,"prohibit devices from bell to bell",2025-08-01,SB 139,1,explicit bell-to-bell language; one-year mandate, optional after 2025-26
Oregon,OR,Bell-to-bell,"prohibit use from start to end of regular instructional hours (i.e., full school day)",2025-08-01,Executive Order 25-09,1,
Rhode Island,RI,Bell-to-bell,"prohibition on physical access to a device during the school day",,SB 771,1,
South Carolina,SC,Bell-to-bell,"prohibits access to devices during the school day",2024-08-01,Budget proviso,1,
Tennessee,TN,Instructional-time only,"prohibit device use during instructional time",,SB 0897,0,
Texas,TX,Bell-to-bell,"prohibit device use while on school property during the school day",2025-08-01,HB 1481,1,
Utah,UT,Bell-to-bell (as of 2026 amendment),"may not use device at school during school hours",2026-08-01,SB 69,1,upgraded from 2025 SB 178, which allowed use during lunch/recess/transitions (was instructional-time only)
Vermont,VT,Bell-to-bell,"prohibit use at school from arrival to dismissal",,HB 480,1,
Virginia,VA,Bell-to-bell (as of 2026 amendment),"restrict possession and prohibit use on school property from bell to bell",2026-08-01,SB 108,1,upgraded from 2024 EO-33, which was not a hard mandate
Washington,WA,Not a ban - encourages only,,,District guidance,0,
West Virginia,WV,Instructional-time only,"devices not accessible for use in a classroom setting during instructional time",2025-08-01,HB 2003,0,
Wisconsin,WI,Instructional-time only,"prohibits device use during instructional time",2026-07-01,AB 2,0,
