state,state_code,date_enacted,type_of_limitation,bill_or_policy,trifecta_status,source
Alabama,AL,2025-05-14,Statewide ban,HB 166,Republican,Ballotpedia
Alabama,AL,2024-02-11,Encourages districts to limit cellphones,State Board resolution,Republican,Ballotpedia
Alaska,AK,2025-05-20,Requires districts to establish policy,HB 57,Divided,Ballotpedia
Arizona,AZ,2025-04-14,Limits cellphone usage in classrooms,HB 2484,Divided,Ballotpedia
Arkansas,AR,2025-02-21,Statewide ban,SB 142,Republican,Ballotpedia
California,CA,2024-09-23,Limits cellphone usage in classrooms,AB 3216,Democratic,Ballotpedia
Colorado,CO,2025-05-01,Requires districts to establish policy,HB 25-1135,Democratic,Ballotpedia
Connecticut,CT,2024-08-21,Encourages districts to limit cellphones,State Board policy,Democratic,Ballotpedia
Delaware,DE,2026-03-12,Encourages districts to limit cellphones,SB 106,Democratic,Ballotpedia
Florida,FL,2023-05-09,Statewide ban,HB 379,Republican,Ballotpedia
Georgia,GA,2026-05-05,Statewide ban (expanded to high school),HB 1009,Republican,Ballotpedia
Georgia,GA,2025-05-09,Statewide ban (K-8),HB 340,Republican,Ballotpedia
Hawaii,HI,2026-02-02,Statewide ban,State Board policy,Democratic,Ballotpedia
Idaho,ID,2024-10-31,Encourages districts to limit cellphones,Executive order,Republican,Ballotpedia
Indiana,IN,2024-03-11,Statewide ban,SB 185,Republican,Ballotpedia
Iowa,IA,2025-04-30,Statewide ban,HF 782,Republican,Ballotpedia
Kansas,KS,2026-03-20,Statewide ban,HB 2299,Divided,Ballotpedia
Kansas,KS,2024-12-11,Encourages districts to limit cellphones,State Board policy,Divided,Ballotpedia
Kentucky,KY,2025-03-26,Statewide ban,HB 208,Divided,Ballotpedia
Louisiana,LA,2024-05-28,Statewide ban,SB 207,Republican,Ballotpedia
Maine,ME,2026-04-10,Statewide ban,LD 2212,Democratic,Ballotpedia
Michigan,MI,2026-02-10,Statewide ban,HB 4141,Divided,Ballotpedia
Minnesota,MN,2024-05-17,Requires districts to establish policy,SF 3567,Democratic,Ballotpedia
Missouri,MO,2025-07-07,Statewide ban,SB 68,Republican,Ballotpedia
Montana,MT,2024-08-22,Encourages districts to limit cellphones,Governor's letter,Republican,Ballotpedia
Nebraska,NE,2025-05-20,Statewide ban,LB 140,Republican,Ballotpedia
Nevada,NV,2025-05-28,Statewide ban,SB 444,Divided,Ballotpedia
New Hampshire,NH,2025-06-30,Statewide ban,HB 2,Republican,Ballotpedia
New Jersey,NJ,2026-01-08,Statewide ban,S 3695,Democratic,Ballotpedia
New Mexico,NM,2025-04-10,Requires districts to establish policy,SB 11,Democratic,Ballotpedia
New York,NY,2025-05-06,Statewide ban,S3006C (budget agreement),Democratic,Ballotpedia
North Carolina,NC,2025-07-01,Statewide ban,HB 959,Divided,Ballotpedia
North Dakota,ND,2025-04-25,Statewide ban,HB 1160,Republican,Ballotpedia
Ohio,OH,2025-07-01,Statewide ban,HB 96,Republican,Ballotpedia
Ohio,OH,2024-05-20,Limits cellphone usage in classrooms,HB 250,Republican,Ballotpedia
Oklahoma,OK,2025-04-06,Statewide ban,SB 139,Republican,Ballotpedia
Oregon,OR,2025-07-02,Statewide ban,Executive Order 25-09,Democratic,Ballotpedia
Oregon,OR,2024-10-30,Encourages districts to limit cellphones,Dept of Education guidance,Democratic,Ballotpedia
Rhode Island,RI,2025-06-23,Statewide ban,SB 771,Democratic,Ballotpedia
South Carolina,SC,2024-07-03,Statewide ban,Budget proviso,Republican,Ballotpedia
Tennessee,TN,2025-03-28,Statewide ban,SB 0897,Republican,Ballotpedia
Texas,TX,2025-06-20,Statewide ban,HB 1481,Republican,Ballotpedia
Utah,UT,2026-03-18,Statewide ban (extended, bell-to-bell),SB 69,Republican,Ballotpedia
Utah,UT,2025-03-25,Statewide ban,SB 178,Republican,Ballotpedia
Vermont,VT,2025-06-27,Statewide ban,HB 480,Divided,Ballotpedia
Virginia,VA,2026-04-06,Statewide ban (expanded, bell-to-bell),SB 108,Democratic,Ballotpedia
Washington,WA,2024-09-06,Encourages districts to limit cellphones,District guidance,Democratic,Ballotpedia
West Virginia,WV,2025-04-29,Statewide ban,HB 2003,Republican,Ballotpedia
Wisconsin,WI,2025-10-31,Statewide ban,AB 2,Divided,Ballotpedia
